Fav_Alcohol_Amt,Insight,Continent,Most Consumed Alcohol,Number of Records,Beer Servings,Country,Spirit Servings,Total Litres Of Pure Alcohol,Wine Servings
0,Countries governed by Orthodox/Conservative regimes have low alcohol consumption,Asia,less than 0.1 liters consumption,1,0,Afghanistan,0,0,0
132,Eastern European nations are leading in consumpton of Spirits,Europe,Spirits,1,89,Albania,132,4.9,54
25,Namibia topped the list with highest beer consupmtion per person. Germany which we expected to be on top is ranked 4th,Africa,Beer,1,25,Algeria,0,0.7,14
312,Data conformed to some of the stereotypes. France had highest consumption of Wine,Europe,Wine,1,245,Andorra,138,12.4,312
217,Namibia topped the list with highest beer consupmtion per person. Germany which we expected to be on top is ranked 4th,Africa,Beer,1,217,Angola,57,5.9,45
128,Eastern European nations are leading in consumpton of Spirits,North America,Spirits,1,102,Antigua & Barbuda,128,4.9,45
221,Data conformed to some of the stereotypes. France had highest consumption of Wine,South America,Wine,1,193,Argentina,25,8.3,221
3.8,Predominantly consumed in African Nations with Uganda being on the top of the list,Europe,Other Alcohol,1,21,Armenia,179,3.8,11
261,Namibia topped the list with highest beer consupmtion per person. Germany which we expected to be on top is ranked 4th,Oceania,Beer,1,261,Australia,72,10.4,212
279,Namibia topped the list with highest beer consupmtion per person. Germany which we expected to be on top is ranked 4th,Europe,Beer,1,279,Austria,75,9.7,191
21,Namibia topped the list with highest beer consupmtion per person. Germany which we expected to be on top is ranked 4th,Europe,Beer,1,21,Azerbaijan,46,1.3,5
176,Eastern European nations are leading in consumpton of Spirits,North America,Spirits,1,122,Bahamas,176,6.3,51
42,Namibia topped the list with highest beer consupmtion per person. Germany which we expected to be on top is ranked 4th,Asia,Beer,1,42,Bahrain,63,2,7
0,Countries governed by Orthodox/Conservative regimes have low alcohol consumption,Asia,less than 0.1 liters consumption,1,0,Bangladesh,0,0,0
173,Eastern European nations are leading in consumpton of Spirits,North America,Spirits,1,143,Barbados,173,6.3,36
373,Eastern European nations are leading in consumpton of Spirits,Europe,Spirits,1,142,Belarus,373,14.4,42
295,Namibia topped the list with highest beer consupmtion per person. Germany which we expected to be on top is ranked 4th,Europe,Beer,1,295,Belgium,84,10.5,212
263,Namibia topped the list with highest beer consupmtion per person. Germany which we expected to be on top is ranked 4th,North America,Beer,1,263,Belize,114,6.8,8
34,Namibia topped the list with highest beer consupmtion per person. Germany which we expected to be on top is ranked 4th,Africa,Beer,1,34,Benin,4,1.1,13
23,Namibia topped the list with highest beer consupmtion per person. Germany which we expected to be on top is ranked 4th,Asia,Beer,1,23,Bhutan,0,0.4,0
